账户(出资实体),交易日期,股票代码,股票名称,交易,股数,交易货币,价格,股票总值,股票净值
E,2017/3/31,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"7,276,891.00", 欧元(EUR) ,0.2,"1,424,218.55","1,428,514.01"
E,2017/4/3,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"9,623,747.00", 欧元(EUR) ,0.19,"1,854,159.22","1,859,748.79"
E,2017/4/4,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"5,837,443.00", 欧元(EUR) ,0.18,"1,072,746.90","1,075,975.13"
E,2017/4/5,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"3,343,513.00", 欧元(EUR) ,0.18,"606,901.11","608,732.94"
E,2017/4/6,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"3,515,514.00", 欧元(EUR) ,0.18,"646,942.46","648,894.60"
E,2017/4/7,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"4,313,704.00", 欧元(EUR) ,0.18,"778,092.99","780,439.21"
B,2017/4/26,CLNS,Colony Northstar,买入,"190,262.00", 美元(USD) ,13.06,"2,485,097.63","2,487,000.25"
F,2017/4/26,002027.SZ,分众传媒,卖出,"-9,900,000.00", 人民币(CNY) ,12.6,"-124,740,000.00","-124,565,364.00"
B,2017/5/15,CLNS,Colony Northstar,买入,"74,300.00", 美元(USD) ,13.41,"996,073.23","996,816.23"
F,2017/5/15,002027.SZ,分众传媒,卖出,"-24,572,440.00", 人民币(CNY) ,12.5,"-307,155,500.00","-306,725,482.30"
J,2017/5/23,COWN,Cowen Group,买入,"16,304.00", 美元(USD) ,14.61,"238,133.31","238,490.51"
J,2017/5/24,COWN,Cowen Group,买入,"34,889.00", 美元(USD) ,14.42,"503,154.43","503,909.16"
J,2017/5/25,COWN,Cowen Group,买入,"50,497.00", 美元(USD) ,14.58,"735,997.01","737,101.01"
J,2017/5/26,COWN,Cowen Group,买入,"51,239.00", 美元(USD) ,14.99,"767,970.90","769,122.86"
J,2017/5/30,COWN,Cowen Group,买入,"31,647.00", 美元(USD) ,14.85,"470,041.09","470,746.15"
J,2017/5/31,COWN,Cowen Group,买入,"39,932.00", 美元(USD) ,14.94,"596,459.33","597,354.02"
J,2017/6/1,COWN,Cowen Group,买入,"82,021.00", 美元(USD) ,15.15,"1,242,991.76","1,244,856.25"
J,2017/6/2,COWN,Cowen Group,买入,"17,963.00", 美元(USD) ,15.43,"277,101.17","277,516.82"
J,2017/6/5,COWN,Cowen Group,买入,"37,325.00", 美元(USD) ,15.55,"580,234.26","581,104.61"
J,2017/6/6,COWN,Cowen Group,买入,"148,869.00", 美元(USD) ,15.84,"2,358,546.60","2,362,084.42"
F,2017/6/6,002027.SZ,分众传媒,卖出,"-15,972,086.00", 人民币(CNY) ,12.63,"-201,727,446.18","-201,445,027.75"
J,2017/6/7,COWN,Cowen Group,买入,"61,145.00", 美元(USD) ,15.16,"927,159.61","928,550.35"
J,2017/6/8,COWN,Cowen Group,买入,"51,627.00", 美元(USD) ,14.93,"770,544.07","771,699.89"
J,2017/6/9,COWN,Cowen Group,买入,"23,400.00", 美元(USD) ,15,"350,927.51","351,453.90"
J,2017/6/12,COWN,Cowen Group,买入,"27,014.00", 美元(USD) ,15.04,"406,217.84","406,827.17"
J,2017/6/13,COWN,Cowen Group,买入,"12,003.00", 美元(USD) ,15.32,"183,918.25","184,194.13"
J,2017/6/14,COWN,Cowen Group,买入,"12,048.00", 美元(USD) ,15.94,"192,081.95","192,370.07"
J,2017/6/15,COWN,Cowen Group,买入,"10,725.00", 美元(USD) ,15.89,"170,406.88","170,662.49"
J,2017/6/16,COWN,Cowen Group,买入,"11,722.00", 美元(USD) ,15.91,"186,450.65","186,730.33"
J,2017/6/19,COWN,Cowen Group,买入,100, 美元(USD) ,16,"1,600.00","1,602.40"
J,2017/6/20,COWN,Cowen Group,买入,"1,461.00", 美元(USD) ,15.98,"23,341.00","23,376.01"
J,2017/6/21,COWN,Cowen Group,买入,"10,100.00", 美元(USD) ,15.84,"159,945.00","160,184.92"
J,2017/6/22,COWN,Cowen Group,买入,"7,119.00", 美元(USD) ,15.93,"113,396.15","113,566.24"
